416 ('/zfs/constants.py', 'ObjectType_class_initializer', 'ZAP_OTHER')
417 ('/zfs/constants.py', 'ObjectType_class_initializer', 'ERROR_LOG')
418 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SPA_HISTORY')
419 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SPA_HISTORY_OFFSETS')
420 ('/zfs/constants.py', 'ObjectType_class_initializer', 'POOL_PROPS')
421 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DSL_PERMS')
422 ('/zfs/constants.py', 'ObjectType_class_initializer', 'ACL')
423 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SYSACL')
424 ('/zfs/constants.py', 'ObjectType_class_initializer', 'FUID')
425 ('/zfs/constants.py', 'ObjectType_class_initializer', 'FUID_SIZE')
426 ('/zfs/constants.py', 'ObjectType_class_initializer', 'NEXT_CLONES')
427 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SCAN_QUEUE')
428 ('/zfs/constants.py', 'ObjectType_class_initializer', 'USERGROUP_USED')
429 ('/zfs/constants.py', 'ObjectType_class_initializer', 'USERGROUP_QUOTA')
430 ('/zfs/constants.py', 'ObjectType_class_initializer', 'USERREFS')
431 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DDT_ZAP')
432 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DDT_STATS')
433 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SA')
434 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SA_MASTER_NODE')
435 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SA_ATTR_REGISTRATION')
436 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SA_ATTR_LAYOUTS')
437 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SCAN_XLATE')
438 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DEDUP')
439 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DEADLIST')
440 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DEADLIST_HDR')
441 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DSL_CLONES')
442 ('/zfs/constants.py', 'ObjectType_class_initializer', 'BPOBJ_SUBOBJ')
443 ('/zfs/constants.py', 'ObjectType_class_initializer', 'FEATURE_DESCRIPTION')
444 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'CREATE')
445 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'MKDIR')
446 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'MKXATTR')
447 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'SYMLINK')
448 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'REMOVE')
449 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'RMDIR')
450 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'LINK')
451 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'RENAME')
452 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'WRITE')
453 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'TRUNCATE')
454 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'SETATTR')
455 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'ACL')
456 ('/zfs/constants.py', 'ZapType_class_initializer', 'ZAPHeader')
457 ('/zfs/constants.py', 'ZapType_class_initializer', 'ZAPLeaf')
458 ('/zfs/constants.py', 'ZapType_class_initializer', 'MicroZAP')
459 ('/zfs/constants.py', 'module_initializer', 'POOL_VERSION')
